"date","open","high","low","close","adj_close","volume","ma_200","ma_50","ma_21","ma_7"
"2020-05-12","79.4575","79.9225","77.7275","77.8525","77.2157","162301200","65.4356","68.0789","72.4329","76.13"
"2020-05-13","78.0375","78.9875","75.8025","76.9125","76.2834","200622400","65.5581","68.1705","72.6781","76.6475"
"2020-05-14","76.1275","77.4475","75.3825","77.385","76.7521","158929200","65.684","68.2046","72.977","77.0754"
"2020-05-15","75.0875","76.975","75.0525","76.9275","76.2983","166348400","65.8024","68.2785","73.2273","77.3282"
"2020-05-18","78.2925","79.125","77.58","78.74","78.096","135178400","65.9355","68.4081","73.6101","77.7289"
"2020-05-19","78.7575","79.63","78.2525","78.285","77.6447","101729600","66.0719","68.643","74.0412","77.8364"
"2020-05-20","79.17","79.88","79.13","79.8075","79.1548","111504800","66.2293","68.8124","74.6467","77.9871"
"2020-05-21","79.665","80.2225","78.9675","79.2125","78.5646","102688800","66.3791","69.0195","75.1318","78.1814"
"2020-05-22","78.9425","79.8075","78.8375","79.7225","79.0705","81803200","66.5289","69.3728","75.6539","78.5829"
"2020-05-26","80.875","81.06","79.125","79.1825","78.5349","125522000","66.6705","69.5667","76.0558","78.8396"
"2020-05-27","79.035","79.6775","78.2725","79.5275","78.8771","112945200","66.8169","69.9462","76.4718","79.2111"
"2020-05-28","79.1925","80.86","78.9075","79.5625","78.9118","133560800","66.9641","70.2731","76.944","79.3286"
"2020-05-29","79.8125","80.2875","79.1175","79.485","78.8349","153532400","67.1003","70.6294","77.3037","79.5"
"2020-06-01","79.4375","80.5875","79.3025","80.4625","79.8044","80791200","67.2492","71.0148","77.6376","79.5936"
"2020-06-02","80.1875","80.86","79.7325","80.835","80.1739","87642800","67.4012","71.4853","78.0456","79.8254"
"2020-06-03","81.165","81.55","80.575","81.28","80.6152","104491200","67.5495","71.9891","78.4261","80.0479"
"2020-06-04","81.0975","81.405","80.195","80.58","79.9209","87560400","67.6895","72.3662","78.7208","80.2475"
"2020-06-05","80.8375","82.9375","80.8075","82.875","82.1972","137250400","67.8409","72.7962","79.0883","80.7257"
"2020-06-08","82.5625","83.4","81.83","83.365","82.6832","95654400","67.9919","73.1712","79.4421","81.2689"
"2020-06-09","83.035","86.4025","83.0025","85.9975","85.2941","147712400","68.1563","73.6525","79.8452","82.1993"
"2020-06-10","86.975","88.6925","86.5225","88.21","87.4885","166651600","68.3441","74.1426","80.2956","83.3061"
"2020-06-11","87.3275","87.765","83.87","83.975","83.2882","201662400","68.5058","74.5507","80.5871","83.7546"
"2020-06-12","86.18","86.95","83.555","84.7","84.0072","200146000","68.6741","75.0402","80.958","84.2432"
"2020-06-15","83.3125","86.42","83.145","85.7475","85.0462","138808800","68.846","75.5304","81.3562","84.9814"
"2020-06-16","87.865","88.3","86.18","88.02","87.3001","165428800","69.0248","76.0838","81.8844","85.7164"
"2020-06-17","88.7875","88.85","87.7725","87.8975","87.1786","114406400","69.2034","76.5294","82.3205","86.3639"
"2020-06-18","87.8525","88.3625","87.305","87.9325","87.2133","96820400","69.3859","76.9909","82.7799","86.6404"
"2020-06-19","88.66","89.14","86.2875","87.43","86.7149","264476000","69.5616","77.4091","83.1429","86.5289"
"2020-06-22","87.835","89.865","87.7875","89.7175","88.9837","135445200","69.7436","77.8635","83.6431","87.3493"
"2020-06-23","91","93.095","90.5675","91.6325","90.883","212155600","69.9351","78.3299","84.2102","88.3396"
"2020-06-24","91.25","92.1975","89.63","90.015","89.2788","192623200","70.1175","78.695","84.7261","88.9493"
"2020-06-25","90.175","91.25","89.3925","91.21","90.464","137522400","70.3027","79.0971","85.2824","89.405"
"2020-06-26","91.1025","91.33","88.255","88.4075","87.6844","205256800","70.4652","79.4317","85.7036","89.4779"
"2020-06-29","88.3125","90.5425","87.82","90.445","89.7053","130646000","70.6386","79.8267","86.2255","89.8368"
"2020-06-30","90.02","91.495","90","91.2","90.4541","140223200","70.8212","80.266","86.7368","90.3754"
"2020-07-01","91.28","91.84","90.9775","91.0275","90.283","110737200","71.0014","80.7447","87.2221","90.5625"
